time_period,season,ccg_nm,adn_dgnm,sex_cd,age_group,trns_cnt,ttl_trns_amt,업종 대분류
1.0,3.0,0.2913993618949017,0.5235748120127065,0.0,7.0,1,28000,한식
1.0,1.0,0.29195415351557913,0.26448450666135503,0.0,9.0,1,9700,양식
2.0,2.0,0.3241728845769895,0.24808335552499547,1.0,7.0,128,522200,양식
2.0,2.0,0.2636909283438781,0.2929505485963008,0.0,1.0,9,84600,양식
0.0,3.0,0.313943929122366,0.2617417463548495,0.0,5.0,3,82300,한식
2.0,1.0,0.29190855299523194,0.2898140875009838,1.0,3.0,376,2432250,양식
2.0,3.0,0.2873508808325221,0.31490854191728423,0.0,2.0,351,6732820,한식
2.0,3.0,0.3022859040986899,0.2678250891968897,0.0,5.0,29,1444800,일식
2.0,3.0,0.284605236366718,0.2599774619326858,0.0,2.0,34,1828300,주점
2.0,3.0,0.2921139805953464,0.25889830508275974,0.0,4.0,2806,27094914,양식
0.0,3.0,0.32363698950215347,0.33147547681355416,0.0,2.0,1,48400,일식
2.0,3.0,0.305415244921692,0.26712705195062436,0.0,1.0,3,31800,양식
2.0,3.0,0.303952054156296,0.27638020504452787,1.0,6.0,9,125000,중식
2.0,1.0,0.305415244921692,0.324318846260723,1.0,6.0,35,1072100,일식
2.0,0.0,0.30789741395079523,0.22249696622871637,1.0,3.0,8,527000,중식
2.0,3.0,0.28541885793426114,0.25795292684059035,0.0,7.0,435,14039900,한식
2.0,2.0,0.29038316002014286,0.24541292313582067,1.0,7.0,166,6165380,한식
1.0,0.0,0.2921139805953464,0.3362133525205224,1.0,5.0,2,17000,한식
1.0,0.0,0.29683861582708165,0.34398594658698217,1.0,5.0,1,32000,한식
2.0,0.0,0.3095515114886265,0.3004338142535676,1.0,7.0,60,302330,양식
0.0,1.0,0.27959804215356293,0.27510545888136784,1.0,6.0,1,66000,일식
1.0,2.0,0.29165482142116217,0.3041151507259282,0.0,5.0,14,234300,한식
1.0,0.0,0.28738591990494883,0.259597094132066,0.0,6.0,9,172000,한식
0.0,3.0,0.3041758140561515,0.29053952177222375,1.0,5.0,1,23000,한식
2.0,2.0,0.30043485274898596,0.3366202323110007,1.0,3.0,326,6063800,한식
1.0,1.0,0.305415244921692,0.3121202718241811,0.0,2.0,18,40500,양식
0.0,1.0,0.2921139805953464,0.25889830508275974,0.0,5.0,1,9500,양식
0.0,1.0,0.30239157546187706,0.2913295525176259,1.0,2.0,1,33500,주점
2.0,1.0,0.29418079276132586,0.26903978198149026,1.0,9.0,1,8700,양식
1.0,1.0,0.3065805591113989,0.2957796167689144,0.0,3.0,5,62000,한식
0.0,2.0,0.2928870606413812,0.29247491979847506,0.0,5.0,1,41300,주점
2.0,1.0,0.3410034126156774,0.3946708641786201,1.0,6.0,6,175000,중식
1.0,3.0,0.2964279505003217,0.2797324103094143,1.0,3.0,3,22500,한식
2.0,0.0,0.2731117557402044,0.2638498387013051,0.0,4.0,333,2271200,양식
2.0,2.0,0.2964279505003217,0.2883275562235916,1.0,7.0,53,317800,양식
1.0,3.0,0.28708149028071417,0.3180587360794067,0.0,5.0,48,266100,양식
2.0,2.0,0.3033485583126569,0.2843749455574589,1.0,1.0,45,218100,양식
2.0,0.0,0.2917792185458611,0.28326412380205857,1.0,2.0,598,18939940,한식
2.0,1.0,0.31501210362201376,0.23475074553001463,0.0,3.0,48,1552000,일식
2.0,1.0,0.33190095755155014,0.3797234351776222,1.0,6.0,254,1300200,양식
2.0,1.0,0.28541885793426114,0.27623455706744793,0.0,3.0,757,18272371,한식
1.0,2.0,0.28750835805659214,0.28432761744099894,0.0,5.0,31,290300,한식
2.0,3.0,0.30698078241469223,0.3349981043160652,1.0,3.0,54,1412000,중식
0.0,3.0,0.30389048939083074,0.2773592596773811,1.0,3.0,2,99700,한식
1.0,1.0,0.3133218919809332,0.289027712536403,1.0,6.0,209,531800,양식
2.0,1.0,0.3113035890430504,0.29412959469101296,1.0,8.0,4,76300,일식
1.0,0.0,0.270468890062538,0.2489500592645258,1.0,6.0,3,42000,한식
1.0,0.0,0.2777624408633689,0.25848132554414266,1.0,3.0,3,28000,한식
2.0,2.0,0.3065805591113989,0.2668021673859358,1.0,2.0,144,4759440,한식
2.0,0.0,0.2964279505003217,0.2667853224018998,0.0,4.0,66,1889000,중식
2.0,2.0,0.3033485583126569,0.2135884416490862,1.0,8.0,2,92000,일식
2.0,3.0,0.2913993618949017,0.249063692168106,1.0,2.0,2,61000,주점
2.0,2.0,0.29195415351557913,0.26934288492993513,0.0,5.0,26,891000,주점
1.0,3.0,0.28767894699321445,0.2804025918932592,1.0,2.0,10,187000,한식
1.0,0.0,0.284605236366718,0.2701499149658833,0.0,2.0,14,51600,양식
2.0,3.0,0.29165482142116217,0.33464316546256534,1.0,8.0,63,2053900,한식
1.0,2.0,0.27959804215356293,0.30105440280024354,1.0,6.0,13,33300,양식
2.0,0.0,0.2928870606413812,0.27893072385504775,1.0,1.0,14,254600,한식
2.0,2.0,0.2923097039804287,0.28639017952287743,0.0,5.0,5,425000,일식
2.0,3.0,0.30770967361599655,0.30731465492935744,0.0,1.0,15,303970,한식
1.0,1.0,0.27415616473949106,0.27480351662371755,0.0,5.0,208,801100,양식
1.0,3.0,0.30770967361599655,0.2714124187431067,0.0,8.0,1,4500,양식
2.0,2.0,0.28767894699321445,0.29290482678516155,1.0,1.0,8,112390,중식
2.0,2.0,0.2929614705730089,0.30921501898484255,0.0,8.0,13,460100,한식
0.0,0.0,0.3033485583126569,0.29106736211387585,1.0,6.0,11,165000,한식
2.0,0.0,0.28278421402254517,0.28279570618832,0.0,5.0,20,824100,일식
2.0,1.0,0.30770967361599655,0.2745220254208184,1.0,6.0,1,31000,주점
2.0,0.0,0.28750835805659214,0.3200907085974362,0.0,2.0,3,58000,중식
2.0,2.0,0.2731117557402044,0.28909366261606406,0.0,6.0,121,6625500,중식
2.0,3.0,0.28541885793426114,0.2079250590175473,0.0,5.0,30,1300300,주점
2.0,1.0,0.28750835805659214,0.3243167349876103,0.0,2.0,213,1178890,양식
2.0,3.0,0.2964279505003217,0.3076441207820654,1.0,7.0,1,131000,주점
1.0,1.0,0.2965232184357257,0.3331210298804008,1.0,3.0,146,454800,양식
2.0,1.0,0.313943929122366,0.2617417463548495,1.0,4.0,1068,24821100,한식
1.0,2.0,0.28708149028071417,0.2877794590438043,0.0,3.0,1,26000,중식
2.0,0.0,0.2786349152350703,0.3041151507259282,1.0,6.0,4,202000,일식
1.0,2.0,0.303952054156296,0.3814872244771444,1.0,2.0,23,104200,양식
1.0,3.0,0.2636909283438781,0.2929505485963008,0.0,5.0,54,166800,양식
2.0,0.0,0.27785564431369575,0.2713540717066775,1.0,4.0,32,1560500,중식
0.0,3.0,0.3104321061719085,0.2895068874784783,1.0,4.0,13,300700,한식
2.0,3.0,0.27415616473949106,0.2941314245581823,1.0,6.0,77,1179000,중식
2.0,1.0,0.3041758140561515,0.2407987453196706,1.0,1.0,3,69400,한식
0.0,3.0,0.28516829945536093,0.25610172748092414,0.0,2.0,1,26500,한식
2.0,1.0,0.2937105638666578,0.2771395321121395,1.0,1.0,1,12000,한식
2.0,1.0,0.34419277266060255,0.39524860153473246,1.0,4.0,173,3818500,중식
2.0,3.0,0.3041758140561515,0.30807501340761284,0.0,1.0,1,3700,한식
2.0,1.0,0.2898135303892191,0.37250494838476994,1.0,2.0,1,30000,일식
1.0,1.0,0.29195415351557913,0.23924489102654528,0.0,2.0,61,215900,양식
2.0,1.0,0.28944699219314657,0.24778531743219448,0.0,6.0,10,78000,양식
2.0,2.0,0.3313552609992176,0.7063750031595113,1.0,2.0,2,27000,양식
2.0,1.0,0.2870261807201703,0.21293861217760168,0.0,3.0,94,3245400,주점
2.0,1.0,0.3241728845769895,0.31596154162750206,0.0,8.0,13,149300,양식
2.0,2.0,0.30239157546187706,0.29938800802457644,1.0,3.0,5,293000,일식
2.0,3.0,0.2636909283438781,0.21120516692834826,0.0,8.0,6,43200,양식
1.0,2.0,0.29038316002014286,0.20567636599631556,1.0,6.0,39,329300,한식
0.0,1.0,0.29038316002014286,0.2437910921005498,0.0,3.0,1,16400,양식
1.0,3.0,0.303952054156296,0.26980799488747215,0.0,3.0,5,30700,양식
1.0,0.0,0.2898135303892191,0.27203442522676335,0.0,3.0,95,298100,양식
1.0,1.0,0.28708149028071417,0.29850098385765267,1.0,5.0,11,201500,한식
2.0,1.0,0.3033485583126569,0.2135884416490862,0.0,4.0,54,1104700,중식
0.0,1.0,0.2917792185458611,0.23207056168762297,1.0,4.0,4,153300,주점
2.0,3.0,0.2831385549572643,0.29857165569929395,1.0,1.0,4,226200,한식
2.0,2.0,0.3104321061719085,0.3292125769547086,0.0,2.0,151,4718600,한식
2.0,3.0,0.2929614705730089,0.34273761918849543,0.0,3.0,7,294400,주점
2.0,0.0,0.29038316002014286,0.26099068017080923,0.0,5.0,19,560500,주점
2.0,0.0,0.3431231134600117,0.29459370285184133,1.0,6.0,74,1862300,한식
2.0,2.0,0.34824423527975024,0.41010355448374997,1.0,8.0,4,56200,양식
2.0,0.0,0.2965232184357257,0.3896020454841643,1.0,8.0,3,40000,한식
0.0,1.0,0.3410034126156774,0.283264147943573,0.0,2.0,3,58500,한식
1.0,0.0,0.3316133225484665,0.30903591325721513,0.0,4.0,20,293900,한식
2.0,0.0,0.3241728845769895,0.31596154162750206,1.0,5.0,2,107000,주점
1.0,0.0,0.2972852490943584,0.22776500553924017,1.0,4.0,3,9600,한식
1.0,3.0,0.27785564431369575,0.252734208979114,0.0,6.0,32,804030,한식
2.0,1.0,0.305415244921692,0.32631958676275924,0.0,7.0,285,10365790,한식
2.0,3.0,0.2867365272480098,0.26183508235034597,1.0,5.0,5,157900,주점
2.0,2.0,0.2972852490943584,0.2909315835565749,0.0,3.0,2580,82893330,한식
1.0,2.0,0.30770967361599655,0.37534132258432623,1.0,4.0,1,2000,양식
2.0,1.0,0.2964279505003217,0.33730614323208624,1.0,7.0,6,338500,일식
1.0,2.0,0.2909647861804005,0.23550252798727905,0.0,7.0,1,4000,양식
1.0,2.0,0.27415616473949106,0.24101702973450176,0.0,5.0,392,1285600,양식
2.0,0.0,0.28750835805659214,0.26533952908093905,1.0,4.0,50,2154100,일식
1.0,3.0,0.305415244921692,0.2657397518478158,0.0,5.0,122,495200,양식
1.0,3.0,0.2923097039804287,0.26675713432845843,1.0,6.0,47,488400,한식
2.0,1.0,0.2929614705730089,0.34273761918849543,0.0,8.0,1,14500,한식
2.0,1.0,0.313943929122366,0.048262510781388254,1.0,7.0,36,429000,한식
0.0,1.0,0.30043485274898596,0.29298508558438174,0.0,3.0,6,110000,한식
2.0,0.0,0.2848890887686061,0.2989037244126932,0.0,2.0,1,26500,중식
2.0,1.0,0.3041758140561515,0.27845432605855136,0.0,5.0,1635,59362790,한식
1.0,3.0,0.30789741395079523,0.22249696622871637,0.0,5.0,90,309300,양식
1.0,2.0,0.2909647861804005,0.2787612327132592,1.0,5.0,104,292200,양식
1.0,2.0,0.3316133225484665,0.3789627869637958,1.0,2.0,13,81600,양식
2.0,2.0,0.34824423527975024,0.41010355448374997,0.0,6.0,4,154800,일식
2.0,1.0,0.313943929122366,0.2235402614771026,0.0,3.0,19,933500,중식
2.0,1.0,0.3250680620933622,0.2927046355227013,1.0,4.0,477,14336010,한식
2.0,1.0,0.2964279505003217,0.25843709060897535,1.0,2.0,1,29000,일식
1.0,0.0,0.3316133225484665,0.3735898410539491,1.0,8.0,1,35000,한식
2.0,2.0,0.2831385549572643,0.2677354134864868,1.0,4.0,28,841700,주점
1.0,0.0,0.3022859040986899,0.266269677074097,0.0,4.0,6,79400,한식
2.0,1.0,0.2909647861804005,0.3940082767474436,1.0,3.0,93,2925700,한식
2.0,3.0,0.3431231134600117,0.27380387933967365,0.0,6.0,9,256400,주점
2.0,0.0,0.28767894699321445,0.2622933435218705,0.0,2.0,239,1984000,양식
2.0,0.0,0.305415244921692,0.26129533359076695,0.0,2.0,3,266000,일식
1.0,2.0,0.305415244921692,0.25807720120691513,0.0,7.0,28,523000,한식
2.0,3.0,0.30789741395079523,0.2535091922879011,1.0,1.0,3,51000,한식
2.0,1.0,0.3133218919809332,0.32799803032424735,0.0,2.0,496,9247810,한식
1.0,3.0,0.2921139805953464,0.36152680075631616,1.0,7.0,3,11200,양식
1.0,1.0,0.2972852490943584,0.3164825160527563,1.0,7.0,4,13000,양식
2.0,1.0,0.2972852490943584,0.28091803935785775,1.0,5.0,579,17186560,한식
2.0,0.0,0.2848890887686061,0.273281616533075,1.0,5.0,40,709000,중식
2.0,3.0,0.3033485583126569,0.28131005259566244,0.0,1.0,12,132400,중식
1.0,2.0,0.3250680620933622,0.2927046355227013,1.0,1.0,1,2000,양식
2.0,0.0,0.2965232184357257,0.4233985824277658,1.0,4.0,27,474500,중식
2.0,2.0,0.29195415351557913,0.3523145121288861,0.0,6.0,41,775000,중식
2.0,0.0,0.3313552609992176,0.3180587360794067,1.0,5.0,4,106000,중식
2.0,2.0,0.3431231134600117,0.30505095638664115,0.0,3.0,181,5174729,중식
2.0,0.0,0.2964279505003217,0.31618764717752534,1.0,4.0,6,194400,일식
1.0,1.0,0.2928870606413812,0.29247491979847506,1.0,6.0,36,80900,양식
2.0,3.0,0.2965232184357257,0.3504812016338491,0.0,8.0,10,116300,한식
2.0,2.0,0.27415616473949106,0.2467731495408531,1.0,6.0,205,4994921,중식
2.0,1.0,0.2909647861804005,0.3659847036376222,0.0,4.0,8,205000,중식
1.0,0.0,0.2752088125599304,0.2702610876145571,0.0,4.0,79,309400,양식
2.0,2.0,0.28516829945536093,0.31848615399083624,1.0,6.0,11,599500,일식
2.0,3.0,0.3313552609992176,0.26910154011935306,1.0,9.0,2,72000,한식
2.0,0.0,0.2965232184357257,0.28865205055147203,1.0,5.0,17,1444000,일식
2.0,3.0,0.28399506263910707,0.2556126742958987,1.0,7.0,2,65000,주점
2.0,1.0,0.3033485583126569,0.28296783728244634,0.0,4.0,29,150300,양식
2.0,3.0,0.2937105638666578,0.2771395321121395,1.0,5.0,392,8309700,한식
0.0,1.0,0.3113035890430504,0.2918681138208216,1.0,4.0,1,42000,일식
0.0,2.0,0.305415244921692,0.23041962426590518,1.0,2.0,1,49000,중식
2.0,3.0,0.2928870606413812,0.35503953235343527,0.0,2.0,1,26000,중식
2.0,3.0,0.28944699219314657,0.30267277901240036,0.0,4.0,177,4911600,한식
1.0,2.0,0.2671829960159548,0.26258855509913603,0.0,6.0,11,180800,한식
0.0,1.0,0.2898135303892191,0.289753882294444,1.0,7.0,6,71000,한식
2.0,1.0,0.2898135303892191,0.04624439003301817,0.0,3.0,24,590500,한식
1.0,2.0,0.2777624408633689,0.32841444451698126,0.0,2.0,3,41000,한식
1.0,3.0,0.2965232184357257,0.28865205055147203,0.0,3.0,17,115000,한식
2.0,1.0,0.2831385549572643,0.2628468317103225,0.0,3.0,620,19880100,한식
2.0,1.0,0.270468890062538,0.0,0.0,7.0,6,173500,중식
2.0,0.0,0.28516829945536093,0.26533950617235313,1.0,8.0,3,56000,중식
2.0,0.0,0.30389048939083074,0.36164352771002145,1.0,2.0,2,80000,중식
2.0,2.0,0.28399506263910707,0.24848852705679617,1.0,5.0,107,7563800,일식
2.0,3.0,0.29038316002014286,0.26099068017080923,0.0,2.0,1263,38436430,한식
1.0,1.0,0.27415616473949106,0.27480351662371755,1.0,3.0,18,211400,한식
2.0,1.0,0.29195415351557913,0.23739282191004332,1.0,4.0,3591,119789442,한식
2.0,0.0,0.28278421402254517,0.2288070707403266,0.0,2.0,15,380500,중식
2.0,1.0,0.30389048939083074,0.24615052779257712,1.0,7.0,22,298000,중식
2.0,2.0,0.2965232184357257,0.26195086235607606,1.0,3.0,279,7724390,한식
1.0,1.0,0.30105717361236184,0.28925403090794766,0.0,4.0,26,265500,한식
2.0,2.0,0.27415616473949106,0.2696327356892513,1.0,8.0,1,8000,주점
0.0,2.0,0.30770967361599655,0.3266495148305533,0.0,2.0,2,87000,한식
2.0,2.0,0.33190095755155014,0.26702357595123666,0.0,7.0,22,394970,중식
0.0,3.0,0.305415244921692,0.2657397518478158,0.0,2.0,2,13700,주점
2.0,2.0,0.29195415351557913,0.38291697120175777,0.0,5.0,32,945000,일식
2.0,2.0,0.2972852490943584,0.3164825160527563,0.0,7.0,132,3476800,한식
2.0,0.0,0.30043485274898596,0.25668259821990885,0.0,6.0,35,1524200,일식
0.0,1.0,0.3095515114886265,0.2681092710664402,0.0,3.0,2,71500,중식
2.0,1.0,0.3022859040986899,0.3331310829781625,0.0,7.0,6,214500,일식
2.0,2.0,0.2720512816603624,0.2587089144494715,1.0,5.0,28,603000,중식
2.0,0.0,0.2873508808325221,0.24229007365703775,1.0,1.0,5,46300,양식
2.0,1.0,0.2731117557402044,0.25601866431176923,0.0,4.0,64,4635600,일식
2.0,3.0,0.2937105638666578,0.2684815898670874,0.0,4.0,209,4745000,중식
0.0,1.0,0.2921139805953464,0.25889830508275974,1.0,5.0,5,209200,주점
1.0,3.0,0.28399506263910707,0.24848852705679617,1.0,4.0,231,883050,양식
1.0,0.0,0.28944699219314657,0.22578841882978687,0.0,6.0,2,5900,양식
2.0,0.0,0.28767894699321445,0.24760749318394762,0.0,4.0,34,2074600,일식
1.0,2.0,0.34824423527975024,0.29034679200148295,0.0,2.0,12,82900,한식
2.0,2.0,0.284605236366718,0.3106565183379115,1.0,4.0,383,14313130,한식
2.0,0.0,0.3133218919809332,0.3200795999868695,1.0,3.0,12,214000,중식
2.0,2.0,0.305415244921692,0.2876520391828797,0.0,1.0,1,12000,일식
2.0,2.0,0.28750835805659214,0.3200907085974362,0.0,3.0,887,6247490,양식
2.0,0.0,0.30086534311805274,0.2718695363900415,0.0,1.0,2,57000,한식
2.0,3.0,0.30296230924336176,0.2429266901078374,0.0,2.0,1344,18033820,양식
2.0,0.0,0.2936341644493487,0.2918911727077667,0.0,1.0,1,19100,양식
2.0,0.0,0.284605236366718,0.35627455207227055,0.0,4.0,4,103600,주점
1.0,0.0,0.2965232184357257,0.515876578849713,0.0,6.0,25,128450,양식
2.0,2.0,0.2928870606413812,0.31504857035444517,0.0,8.0,5,103000,중식
2.0,0.0,0.30086534311805274,0.2718695363900415,1.0,7.0,2,34000,중식
2.0,3.0,0.34824423527975024,0.4082987810178285,1.0,2.0,15,396000,한식
0.0,2.0,0.28541885793426114,0.27538797435789436,1.0,2.0,1,27000,한식
1.0,3.0,0.3250680620933622,0.3012558139194813,0.0,6.0,21,794500,한식
2.0,0.0,0.2921139805953464,0.3421339108718147,0.0,1.0,4,57450,한식
2.0,2.0,0.2671829960159548,0.0,1.0,2.0,17,182000,한식
0.0,0.0,0.27959804215356293,0.27510545888136784,1.0,4.0,2,64000,일식
2.0,3.0,0.2731117557402044,0.28909366261606406,0.0,1.0,12,115960,양식
1.0,3.0,0.3250680620933622,0.3012558139194813,0.0,5.0,27,558000,한식
1.0,1.0,0.29418079276132586,0.26903978198149026,1.0,3.0,1,30000,일식
2.0,0.0,0.3101262549446101,0.3150397588616577,0.0,6.0,117,3321500,한식
2.0,2.0,0.2777624408633689,0.24177390812854188,1.0,1.0,16,749500,한식
1.0,0.0,0.27415616473949106,0.3331718269860909,0.0,7.0,1,3000,양식
0.0,2.0,0.28516829945536093,0.26533950617235313,1.0,3.0,8,276900,주점
2.0,3.0,0.3041758140561515,0.3532843004619688,0.0,3.0,93,3075700,한식
2.0,1.0,0.3313552609992176,0.2667853224018998,0.0,4.0,406,10031300,한식
2.0,3.0,0.2913993618949017,0.33996923487721514,0.0,3.0,49,970000,중식
2.0,0.0,0.3241728845769895,0.2584464493608496,1.0,7.0,1,22000,일식
2.0,1.0,0.29190855299523194,0.2857693125783989,1.0,5.0,808,20031210,한식
2.0,3.0,0.30770967361599655,0.3767953257725174,0.0,4.0,216,6718500,한식
2.0,3.0,0.2831385549572643,0.38588536466183937,1.0,2.0,5,148700,일식
2.0,1.0,0.31501210362201376,0.36859326598839787,0.0,2.0,106,529000,양식
2.0,3.0,0.30086534311805274,0.2972967455631011,1.0,5.0,5,204500,주점
1.0,3.0,0.28399506263910707,0.31116338259419907,0.0,6.0,3,10400,양식
2.0,0.0,0.2929614705730089,0.30921501898484255,1.0,5.0,32,1611100,일식
2.0,1.0,0.2909647861804005,0.23550252798727905,1.0,8.0,5,32000,양식
1.0,0.0,0.30043485274898596,0.2827957422049524,0.0,3.0,38,101200,양식
2.0,0.0,0.29038316002014286,0.41630038821680126,0.0,2.0,7,34800,한식
2.0,2.0,0.30789741395079523,0.2535091922879011,0.0,6.0,3,49000,주점
2.0,0.0,0.284605236366718,0.26421734455727347,1.0,2.0,1,23000,주점
2.0,3.0,0.28767894699321445,0.29290482678516155,0.0,4.0,240,4720510,중식
0.0,2.0,0.28750835805659214,0.26916950667291556,1.0,4.0,1,38000,주점
